case_name,raw_value,japanese
artGallery,art_gallery,美術館
artStudio,art_studio,アトリエ
auditorium,auditorium,公会堂
culturalLandmark,cultural_landmark,文化的ランドマーク
historicalPlace,historical_place,史跡
monument,monument,記念碑
museum,museum,博物館
performingArtsTheater,performing_arts_theater,劇場
sculpture,sculpture,彫刻
adventureSportsCenter,adventure_sports_center,アドベンチャースポーツセンター
amphitheatre,amphitheatre,円形劇場
amusementCenter,amusement_center,アミューズメントセンター
amusementPark,amusement_park,遊園地
aquarium,aquarium,水族館
banquetHall,banquet_hall,宴会場
barbecueArea,barbecue_area,バーベキュー場
botanicalGarden,botanical_garden,植物園
bowlingAlley,bowling_alley,ボウリング場
casino,casino,カジノ
childrensCamp,childrens_camp,子どもキャンプ場
comedyClub,comedy_club,コメディクラブ
communityCenter,community_center,公民館
concertHall,concert_hall,コンサートホール
conventionCenter,convention_center,コンベンションセンター
culturalCenter,cultural_center,文化センター
cyclingPark,cycling_park,サイクリングパーク
danceHall,dance_hall,ダンスホール
dogPark,dog_park,ドッグパーク
eventVenue,event_venue,イベント会場
ferrisWheel,ferris_wheel,観覧車
garden,garden,庭園
hikingArea,hiking_area,ハイキングエリア
historicalLandmask,historical_landmark,歴史的ランドマーク
internetCafe,internet_cafe,インターネットカフェ
karaoke,karaoke,カラオケ
marina,marina,マリーナ
movieRental,movie_rental,レンタルビデオ店
movieTheater,movie_theater,映画館
nationalPark,national_park,国立公園
nightClub,night_club,ナイトクラブ
observationDeck,observation_deck,展望台
offRoadingArea,off_roading_area,オフロードエリア
operaHouse,opera_house,オペラハウス
park,park,公園
philharmonicHall,philharmonic_hall,フィルハーモニーホール
picnicGround,picnic_ground,ピクニック広場
planetarium,planetarium,プラネタリウム
plaza,plaza,広場
rollerCoaster,roller_coaster,ローラーコースター
skateboardPark,skateboard_park,スケートボードパーク
statePark,state_park,州立公園
touristAttraction,tourist_attraction,観光名所
videoArcade,video_arcade,ゲームセンター
visitorCenter,visitor_center,ビジターセンター
waterPark,water_park,ウォーターパーク
weddingVenue,wedding_venue,結婚式場
wildlifePark,wildlife_park,野生動物公園
wildlifeRefuge,wildlife_refuge,野生動物保護区
zoo,zoo,動物園
acaiShop,acai_shop,アサイー専門店
afghaniRestaurant,afghani_restaurant,アフガニスタン料理店
africanRestaurant,african_restaurant,アフリカ料理店
americanRestaurant,american_restaurant,アメリカ料理店
asianRestaurant,asian_restaurant,アジア料理店
bagelShop,bagel_shop,ベーグル店
bakery,bakery,パン屋
bar,bar,バー
barAndGrill,bar_and_grill,バー＆グリル
barbecueRestaurant,barbecue_restaurant,焼肉店
brazilianRestaurant,brazilian_restaurant,ブラジル料理店
breakfastRestaurant,breakfast_restaurant,朝食レストラン
brunchRestaurant,brunch_restaurant,ブランチレストラン
buffetRestaurant,buffet_restaurant,ビュッフェレストラン
cafe,cafe,カフェ
cafeteria,cafeteria,食堂
candyStore,candy_store,菓子店
catCafe,cat_cafe,猫カフェ
chineseRestaurant,chinese_restaurant,中華料理店
chocolateFactory,chocolate_factory,チョコレート工場
chocolateShop,chocolate_shop,チョコレート店
coffeeShop,coffee_shop,コーヒーショップ
confectionery,confectionery,和菓子店
deli,deli,デリカテッセン
dessertRestaurant,dessert_restaurant,デザートレストラン
dessertShop,dessert_shop,デザート店
diner,diner,ダイナー
dogCafe,dog_cafe,ドッグカフェ
donutShop,donut_shop,ドーナツ店
fastFoodRestaurant,fast_food_restaurant,ファストフード店
fineDiningRestaurant,fine_dining_restaurant,高級レストラン
foodCourt,food_court,フードコート
frenchRestaurant,french_restaurant,フランス料理店
greekRestaurant,greek_restaurant,ギリシャ料理店
hamburgerRestaurant,hamburger_restaurant,ハンバーガー店
iceCreamShop,ice_cream_shop,アイスクリーム店
indianRestaurant,indian_restaurant,インド料理店
indonesianRestaurant,indonesian_restaurant,インドネシア料理店
italianRestaurant,italian_restaurant,イタリア料理店
japaneseRestaurant,japanese_restaurant,日本料理店
juiceShop,juice_shop,ジュース店
koreanRestaurant,korean_restaurant,韓国料理店
lebaneseRestaurant,lebanese_restaurant,レバノン料理店
mealDelivery,meal_delivery,出前・デリバリー
mealTakeaway,meal_takeaway,テイクアウト店
mediterraneanRestaurant,mediterranean_restaurant,地中海料理店
mexicanRestaurant,mexican_restaurant,メキシコ料理店
middleEasternRestaurant,middle_eastern_restaurant,中東料理店
pizzaRestaurant,pizza_restaurant,ピザ店
pub,pub,パブ
ramenRestaurant,ramen_restaurant,ラーメン店
restaurant,restaurant,レストラン
sandwichShop,sandwich_shop,サンドイッチ店
seafoodRestaurant,seafood_restaurant,海鮮料理店
spanishRestaurant,spanish_restaurant,スペイン料理店
steakHouse,steak_house,ステーキハウス
sushiRestaurant,sushi_restaurant,寿司店
teaHouse,tea_house,茶屋
thaiRestaurant,thai_restaurant,タイ料理店
turkishRestaurant,turkish_restaurant,トルコ料理店
veganRestaurant,vegan_restaurant,ヴィーガンレストラン
vietnameseRestaurant,vietnamese_restaurant,ベトナム料理店
wineBar,wine_bar,ワインバー
izakaya,izakaya,居酒屋
beach,beach,ビーチ
island,island,島
lake,lake,湖
asianGroceryStore,asian_grocery_store,アジア食料品店
bookStore,book_store,書店
butcherShop,butcher_shop,精肉店
clothingStore,clothing_store,衣料品店
convenienceStore,convenience_store,コンビニ
departmentStore,department_store,百貨店
discountStore,discount_store,ディスカウントストア
giftShop,gift_shop,ギフトショップ
liquorStore,liquor_store,酒屋
petStore,pet_store,ペットショップ
shopStore,shop_store,ショップ
shoppingMall,shopping_mall,ショッピングモール
